V1,V2,V3
106,692,1042
70,1053,2739
19,293,1397
247,1283,2149
145,756,1275
18,1009,1292
100,515,3767
80,405,2386
87,1033,1173
150,601,1872
118,1606,2920
51,752,1872
15,1171,2850
96,932,4540
61,603,2353
10,1771,4147
10,788,4629
81,2017,3200
43,369,4853
163,305,2197
10,2303,2228
153,309,2711
187,472,1667
84,607,1301
20,457,1568
102,1030,3156
129,82,3937
34,2989,1200
46,372,2754
82,1119,1588
127,2248,4416
32,1167,2205
39,484,679
58,1186,3010
48,159,813
185,1132,2587
34,646,626
75,589,5174
50,1740,3058
21,1437,1461
56,1412,3158
18,706,1678
180,828,1085
158,2249,1211
12,1904,1281
28,535,1772
167,842,2806
68,599,1551
90,1457,3686
43,361,1194
101,1416,1341
60,95,1869
141,615,2225
80,673,802
39,1220,93
49,381,1142
49,737,1533
87,840,2093
48,1643,2590
14,64,1934
229,863,2204
12,2348,1505
131,473,4174
87,1067,494
34,372,1536
51,1709,3995
26,565,368
96,364,5671
156,546,827
161,626,1950
13,940,3061
88,631,610
102,831,4895
132,1376,1714
37,1602,1099
28,1131,1873
45,194,1435
33,456,3889
11,1194,894
30,434,725
87,753,2645
17,179,2970
53,661,1109
71,924,4248
71,63,4125
83,554,1023
31,170,3787
70,2088,1583
119,303,2609
56,643,772
138,1278,3207
65,2767,3674
160,1025,2745
12,644,6116
48,1201,2738
121,733,1569
60,534,1966
40,45,3837
49,1473,3867
32,612,3250
28,1416,1177
89,550,2038
86,2166,1026
11,860,1666
174,832,964
83,233,2580
43,274,5179
77,852,3907
67,218,810
40,335,1950
32,848,2349
92,334,4435
50,93,3225
17,1479,3736
25,492,2630
53,1883,2194
109,162,4444
18,379,1786
93,845,1791
17,439,1945
85,1057,1602
81,213,5534
54,409,3366
77,849,2161
121,1013,2818
66,1046,2159
113,655,2930
6,190,1396
41,1122,649
58,685,1150
13,1047,855
31,735,4208
39,950,1824
31,758,570
100,673,3161
54,994,2237
80,1264,3572
116,458,2561
